Accession	Organism_Name	Species	Genus	Family	Genotype	Isolate	Segment	Length	Country	Host	Tissue_Specimen_Source	Collection_Date	Release_Date	Molecule_type
PV324971	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		P26-HU		772	Hungary	Solanum lycopersicum		2022-05-02	2025-03-29	ssRNA(+)
PQ310341	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		A		480	Iran	Solanum lycopersicum		2024-01-31	2025-03-24	ssRNA(+)
PQ310342	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		B		480	Iran	Solanum lycopersicum		2024-01-31	2025-03-24	ssRNA(+)
PQ310343	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		C		480	Iran	Capsicum annuum		2024-01-31	2025-03-24	ssRNA(+)
PQ310344	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		D		480	Iran	Capsicum annuum		2024-01-31	2025-03-24	ssRNA(+)
PQ310345	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		E		480	Iran	Capsicum annuum	plant leaf	2024-01-31	2025-03-24	ssRNA(+)
PQ310346	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		F		480	Iran	Capsicum annuum	fruit	2024-01-31	2025-03-24	ssRNA(+)
PQ310347	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		G		480	Iran	Capsicum annuum	plant leaf	2024-01-31	2025-03-24	ssRNA(+)
PV175522	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Yunnan		6391	China	Solanum lycopersicum		2022	2025-03-17	ssRNA(+)
PH247094	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae				6393					2025-02-28	ssRNA(+)
PH247095	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae				6392					2025-02-28	ssRNA(+)
PQ760178	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Ir:Lo1		590	Iran	Solanum lycopersicum		2024-07	2025-02-10	ssRNA(+)
PQ760179	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Ir:Lo2		590	Iran	Solanum lycopersicum		2024-07	2025-02-10	ssRNA(+)
PQ767997	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV-NMG		6392	China	Solanum lycopersicum		2024-03	2025-02-10	ssRNA(+)
PP236969	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		6075-49		6366	Morocco	Solanum lycopersicum		2023	2025-02-01	ssRNA(+)
PP236970	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		6075-38		6366	Morocco	Solanum lycopersicum		2023	2025-02-01	ssRNA(+)
PP236971	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		6075-3		6366	Morocco	Solanum lycopersicum		2023	2025-02-01	ssRNA(+)
OR999190	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		2022000698		6384	United Kingdom	Solanum lycopersicum		2022	2025-01-31	ssRNA(+)
OR999191	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		2022025810		6376	Belgium	Solanum lycopersicum		2022	2025-01-31	ssRNA(+)
OR999192	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		2022025503		6391	United Kingdom	Solanum lycopersicum		2022	2025-01-31	ssRNA(+)
OR999193	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		2023006635		6372	United Kingdom	Solanum lycopersicum		2023	2025-01-31	ssRNA(+)
PQ660493	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		M-24		6360	Uzbekistan	Solanum lycopersicum		2024	2024-12-18	ssRNA(+)
PQ492144	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_FJ-2		6382	Fiji	Solanum lycopersicum		2024	2024-11-12	ssRNA(+)
PQ492146	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_GD-01		6382	China	Solanum lycopersicum		2024	2024-11-12	ssRNA(+)
PQ492152	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_Mul-01		6381	Pakistan	Solanum lycopersicum		2024	2024-11-12	ssRNA(+)
PQ457084	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Ismailia		426	Egypt	Solanum lycopersicum		2024	2024-11-09	ssRNA(+)
PQ457085	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Qalyubia		346	Egypt	Solanum lycopersicum		2024	2024-11-09	ssRNA(+)
OR760200	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		472390_1		6349	France	Solanum lycopersicum		2023-01-31	2024-11-01	ssRNA(+)
OR760201	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		472392_1		6346	France	Solanum lycopersicum		2023-03-31	2024-11-01	ssRNA(+)
PP099891	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 4968182		6376	Netherlands	Solanum lycopersicum		2022-02-28	2024-10-27	ssRNA(+)
PP099892	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 36261333		6366	Netherlands	Solanum lycopersicum	fruit	2023-09-07	2024-10-27	ssRNA(+)
PP099893	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 36553581		6368	Netherlands	Solanum lycopersicum		2023-08-30	2024-10-27	ssRNA(+)
PP099894	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 36553598		6368	Netherlands	Solanum lycopersicum		2023-08-29	2024-10-27	ssRNA(+)
PP099895	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 36553651		6379	Netherlands	Solanum lycopersicum		2023-08-21	2024-10-27	ssRNA(+)
PP099896	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 36648722		6372	Netherlands	Solanum lycopersicum	fruit	2022-09-15	2024-10-27	ssRNA(+)
PP099897	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 36648757		6379	Netherlands	Solanum lycopersicum	fruit	2022-09-06	2024-10-27	ssRNA(+)
PP099898	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 38926108		6363	Jordan	Solanum lycopersicum	fruit	2023-03-14	2024-10-27	ssRNA(+)
PP099899	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 39019913		6378	Netherlands	Solanum lycopersicum	fruit	2022-02-23	2024-10-27	ssRNA(+)
PP099900	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 40732222		6184	Netherlands	Solanum lycopersicum		2023-08-14	2024-10-27	ssRNA(+)
PP099901	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41008770		6385	Spain	Solanum lycopersicum	fruit	2022-05-06	2024-10-27	ssRNA(+)
PP099902	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41161994		6366	Turkey	Solanum lycopersicum	fruit	2023-03-09	2024-10-27	ssRNA(+)
PP099903	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41224182		6362	Turkey	Solanum lycopersicum	fruit	2021-11-30	2024-10-27	ssRNA(+)
PP099904	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41760970_1		6356	Netherlands	Solanum lycopersicum		2023-05-12	2024-10-27	ssRNA(+)
PP099905	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41761527		6363	Netherlands	Solanum lycopersicum		2023-08-09	2024-10-27	ssRNA(+)
PP099906	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41761543		6361	Netherlands	Solanum lycopersicum		2023-08-04	2024-10-27	ssRNA(+)
PP099907	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41761690		6354	Netherlands	Solanum lycopersicum		2023-07-13	2024-10-27	ssRNA(+)
PP099908	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41761754		6342	Netherlands	Solanum lycopersicum		2023-06-21	2024-10-27	ssRNA(+)
PP099909	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41776825		6377	Netherlands	Solanum lycopersicum	plant leaf	2022-08-16	2024-10-27	ssRNA(+)
PP099910	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41776948_1		6374	Peru	Solanum lycopersicum		2022-08-25	2024-10-27	ssRNA(+)
PP099911	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41777414		6380	Netherlands	Solanum lycopersicum		2023-05-25	2024-10-27	ssRNA(+)
PP099912	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41777449		6360	Netherlands	Solanum lycopersicum		2023-05-04	2024-10-27	ssRNA(+)
PP099913	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41777457		6364	Netherlands	Solanum lycopersicum		2023-05-04	2024-10-27	ssRNA(+)
PP099914	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41777465		6362	Netherlands	Solanum lycopersicum		2023-04-25	2024-10-27	ssRNA(+)
PP099915	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41777473		6358	Netherlands	Solanum lycopersicum		2023-04-21	2024-10-27	ssRNA(+)
PP099916	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41780031		6378	Netherlands	Solanum lycopersicum	plant leaf	2022-08-11	2024-10-27	ssRNA(+)
PP099917	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41780656		6363	Egypt	Solanum lycopersicum	fruit	2023-02-21	2024-10-27	ssRNA(+)
PP099918	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41802579		6353	Israel	Solanum lycopersicum		2022-01-18	2024-10-27	ssRNA(+)
PP099919	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41802683		6342	Peru	Solanum lycopersicum		2022-01-18	2024-10-27	ssRNA(+)
PP099920	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41831994		6354	Israel	Solanum lycopersicum		2022-01-18	2024-10-27	ssRNA(+)
PP099921	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41832073		6375	Netherlands	Solanum lycopersicum		2022-01-21	2024-10-27	ssRNA(+)
PP099922	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41832081		6353	Netherlands	Solanum lycopersicum	plant leaf	2022-01-24	2024-10-27	ssRNA(+)
PP099923	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41833738		6317	Netherlands	Solanum lycopersicum	plant leaf	2022-02-04	2024-10-27	ssRNA(+)
PP099924	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41833850		6365	Netherlands	Solanum lycopersicum	plant leaf	2022-02-17	2024-10-27	ssRNA(+)
PP099925	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41834028		6375	Netherlands	Solanum lycopersicum		2022-04-13	2024-10-27	ssRNA(+)
PP099926	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41834036		6378	Netherlands	Solanum lycopersicum		2022-04-07	2024-10-27	ssRNA(+)
PP099927	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41834079_1		6389	Netherlands	Solanum lycopersicum	plant leaf	2022-04-19	2024-10-27	ssRNA(+)
PP099928	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41834087		6378	Netherlands	Solanum lycopersicum		2022-04-20	2024-10-27	ssRNA(+)
PP099929	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41834140		6382	Netherlands	Solanum lycopersicum	plant leaf	2022-04-26	2024-10-27	ssRNA(+)
PP099930	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41834167		6367	Peru	Solanum lycopersicum		2022-05-20	2024-10-27	ssRNA(+)
PP099931	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41834175		6372	Netherlands	Solanum lycopersicum		2022-05-11	2024-10-27	ssRNA(+)
PP099932	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41834183		6365	Peru	Solanum lycopersicum		2022-06-14	2024-10-27	ssRNA(+)
PP099933	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41834247_1		6375	Netherlands	Solanum lycopersicum		2022-05-19	2024-10-27	ssRNA(+)
PP099934	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41834255_10		6378	Netherlands	Solanum lycopersicum		2022-06-01	2024-10-27	ssRNA(+)
PP099935	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41849203		6377	Netherlands	Solanum lycopersicum	plant leaf	2021-11-18	2024-10-27	ssRNA(+)
PP099936	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41849246		6373	China	Solanum lycopersicum		2021-12-03	2024-10-27	ssRNA(+)
PP099937	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41849334		6351	China	Solanum lycopersicum		2021-12-14	2024-10-27	ssRNA(+)
PP099938	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41854424_1		6367	Belgium	Solanum lycopersicum	fruit	2022-10-17	2024-10-27	ssRNA(+)
PP099939	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41927072_1		6366	Peru	Solanum lycopersicum		2022-07-12	2024-10-27	ssRNA(+)
PP099940	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41927128		6368	Peru	Solanum lycopersicum		2022-07-12	2024-10-27	ssRNA(+)
PP099941	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41927259		6374	Netherlands	Solanum lycopersicum		2022-10-03	2024-10-27	ssRNA(+)
PP099942	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41927291		6382	Netherlands	Solanum lycopersicum		2022-09-28	2024-10-27	ssRNA(+)
PP099943	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41927320		6376	Netherlands	Solanum lycopersicum	plant leaf	2022-09-26	2024-10-27	ssRNA(+)
PP099944	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41927347		6379	Netherlands	Solanum lycopersicum	plant leaf	2022-09-09	2024-10-27	ssRNA(+)
PP099945	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41927355		6392	Netherlands	Solanum lycopersicum	plant leaf	2022-09-06	2024-10-27	ssRNA(+)
PP099946	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41927363		6370	Netherlands	Solanum lycopersicum	plant leaf	2022-09-06	2024-10-27	ssRNA(+)
PP099947	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41978961		6369	Netherlands	Solanum lycopersicum		2022-01-14	2024-10-27	ssRNA(+)
PP099948	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41979016		6376	Netherlands	Solanum lycopersicum		2021-12-22	2024-10-27	ssRNA(+)
PP099949	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41990864		6374	Netherlands	Solanum lycopersicum	plant leaf	2022-06-29	2024-10-27	ssRNA(+)
PP099950	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41992106		6355	Netherlands	Solanum lycopersicum		2023-04-13	2024-10-27	ssRNA(+)
PP099951	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 42039958		6373	Netherlands	Solanum lycopersicum	plant leaf	2022-09-27	2024-10-27	ssRNA(+)
PP099952	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 42284283		6370	Netherlands	Solanum lycopersicum		2022-07-28	2024-10-27	ssRNA(+)
PP099953	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 65661985		6375	Netherlands	Solanum lycopersicum		2022-11-07	2024-10-27	ssRNA(+)
PP099954	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 65662021_1_1		6373	Netherlands	Solanum lycopersicum	plant leaf	2022-11-16	2024-10-27	ssRNA(+)
PP099955	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 65662080		6357	Peru	Solanum lycopersicum		2022-12-07	2024-10-27	ssRNA(+)
PP099956	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 65662195_1		6378	Netherlands	Solanum lycopersicum		2022-12-01	2024-10-27	ssRNA(+)
PP099957	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 65662232		6361	Netherlands	Solanum lycopersicum		2022-12-29	2024-10-27	ssRNA(+)
PP099958	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 65662283		6378	Netherlands	Solanum lycopersicum		2022-12-05	2024-10-27	ssRNA(+)
PP099959	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 65662291		6376	Netherlands	Solanum lycopersicum		2022-12-08	2024-10-27	ssRNA(+)
PP099960	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66046079		6379	Netherlands	Solanum lycopersicum		2022-10-31	2024-10-27	ssRNA(+)
PP099961	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66046116		6377	Netherlands	Solanum lycopersicum	plant leaf	2022-11-02	2024-10-27	ssRNA(+)
PP099962	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66046132		6377	Netherlands	Solanum lycopersicum		2022-11-02	2024-10-27	ssRNA(+)
PP099963	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66046159		6369	Netherlands	Solanum lycopersicum		2022-11-09	2024-10-27	ssRNA(+)
PP099964	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66046175		6374	Netherlands	Solanum lycopersicum		2022-11-08	2024-10-27	ssRNA(+)
PP099965	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66046191_1		6373	Netherlands	Solanum lycopersicum	plant leaf	2022-11-09	2024-10-27	ssRNA(+)
PP099966	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66047506		6358	Netherlands	Solanum lycopersicum	plant leaf	2022-10-11	2024-10-27	ssRNA(+)
PP099967	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66047573		6365	Netherlands	Solanum lycopersicum		2022-10-31	2024-10-27	ssRNA(+)
PP099968	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66048226		6367	Netherlands	Solanum lycopersicum		2023-02-22	2024-10-27	ssRNA(+)
PP099969	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66048293		6345	Netherlands	Solanum lycopersicum		2023-03-23	2024-10-27	ssRNA(+)
PP099970	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66048314		6375	Netherlands	Solanum lycopersicum		2023-03-30	2024-10-27	ssRNA(+)
PP099971	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66048330		6377	Netherlands	Solanum lycopersicum		2023-03-30	2024-10-27	ssRNA(+)
PP099972	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 42457252		6379	Morocco	Solanum lycopersicum	fruit	2023-12-18	2024-10-27	ssRNA(+)
PQ314730	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV-Kys1		501	Turkey			2023	2024-10-13	ssRNA(+)
PQ359482	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		07164-F1-Alk		515	United Kingdom	Solanum lycopersicum		2024	2024-10-02	ssRNA(+)
PQ359483	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		07164-F1-Lev		758	United Kingdom	Solanum lycopersicum		2024	2024-10-02	ssRNA(+)
PQ359484	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		07164-S1-Alk		515	United Kingdom	Solanum lycopersicum		2024	2024-10-02	ssRNA(+)
PQ359485	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		07164-S1-Lev		759	United Kingdom	Solanum lycopersicum		2024	2024-10-02	ssRNA(+)
PQ282222	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		TR-M19		560	Turkey	Solanum lycopersicum	plant leaf	2021-01	2024-09-25	ssRNA(+)
PQ282223	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		TR-A20		560	Turkey	Solanum lycopersicum	plant leaf	2019-11	2024-09-25	ssRNA(+)
PQ271631	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		FJ-1		6371	Fiji	Solanum lycopersicum		2023	2024-09-21	ssRNA(+)
PQ317916	Tomato brown rugose fruit virus Tom1-Jo	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		043_k141_609		1598	USA		feces	2020	2024-09-18	ssRNA(+)
OR525645	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		12ToB		805	Egypt	Solanum lycopersicum	plant leaf	2023-04-15	2024-09-17	ssRNA(+)
OR525646	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		14ToB		805	Egypt	Solanum lycopersicum	plant leaf	2023-04-15	2024-09-17	ssRNA(+)
PQ243309	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		RHN		827	USA	Solanum lycopersicum	plant leaf	2024-04	2024-09-03	ssRNA(+)
OQ091251	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		RAK_TomJB03		6393	Lebanon	Solanum lycopersicum	plant leaf	2021-04-22	2024-07-24	ssRNA(+)
PP977162	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Uz-14		409	Uzbekistan	Solanum lycopersicum		2024-01-11	2024-07-11	ssRNA(+)
PP977163	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Uz-16		387	Uzbekistan	Solanum lycopersicum		2024-05	2024-07-11	ssRNA(+)
PP830526	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_SLT14		710	Colombia	Solanum lycopersicum		2023-08-01	2024-06-05	ssRNA(+)
PP830527	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_C+Italy_TobUni1_2		705	Italy	Solanum lycopersicum		2022	2024-06-05	ssRNA(+)
PP830528	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_C+Italy_B3_F3		140	Colombia	Solanum lycopersicum		2023-08-01	2024-06-05	ssRNA(+)
PP830529	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_SLT14_Colombia_B3_F3		140	Italy	Solanum lycopersicum		2022	2024-06-05	ssRNA(+)
PP830530	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_SLT12_Colombia_B3_F3		140	Colombia	Solanum lycopersicum		2023-08-01	2024-06-05	ssRNA(+)
PP830531	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_SLT15_Colombia_B3_F3		140	Colombia	Solanum lycopersicum		2023-08-01	2024-06-05	ssRNA(+)
PP830532	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_C+Italy_qs1Fw_TobUni1		88	Italy	Solanum lycopersicum		2022	2024-06-05	ssRNA(+)
PP830533	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_SLT14_Colombia_qs1Fw_TobUni1		88	Colombia	Solanum lycopersicum		2023-08-01	2024-06-05	ssRNA(+)
